Meli id,Item Title,Shop ID,Shopname,Link,L1 Category,Promo Price
MLB-1648957246,BASE MATTE LIQUIDA FAND MAKEUP ALTA COBERTURA VARIAS CORES ,176731617,PEROLADAMAKEUP SHOP,https://produto.mercadolivre.com.br/MLB-1648957246-base-matte-liquida-fand-makeup-alta-cobertura-varias-cores-_JM,Beauty,58.02
MLB-1595375170,KIT 3 TESOURAS PROFISSIONAIS NAVALHA CABELEIREIRO BARBEIRO ,227009706,AMERIC DISTRIBUIDORA,https://produto.mercadolivre.com.br/MLB-1595375170-kit-3-tesouras-profissionais-navalha-cabeleireiro-barbeiro-_JM,Beauty,156.15
MLB-943719998,CADEIRA DE CORTE A GAS ,287098338,APARECIDAROZINELA,https://produto.mercadolivre.com.br/MLB-943719998-cadeira-de-corte-a-gas-_JM,Beauty,754.8
MLB-2081859852,FERMENTO QUIMICO BICARBONATO DE SODIO ALIMENTICIO PURO 500G ,230902479,EMPORIO DAGY,https://produto.mercadolivre.com.br/MLB-2081859852-fermento-quimico-bicarbonato-de-sodio-alimenticio-puro-500g-_JM,Food & Beverages,22.12
MLB-2081859852,FERMENTO QUIMICO BICARBONATO DE SODIO ALIMENTICIO PURO 500G ,230902479,EMPORIO DAGY,https://produto.mercadolivre.com.br/MLB-2081859852-fermento-quimico-bicarbonato-de-sodio-alimenticio-puro-500g-_JM,Food & Beverages,22.12
MLB-2820072241,LEITE UHT INTEGRAL JUSSARA 1 LITRO 12 UNIDADES ,736159205,CIA BRASILEIRA,https://produto.mercadolivre.com.br/MLB-2820072241-leite-uht-integral-jussara-1-litro-12-unidades-_JM,Food & Beverages,76.77
MLB-2195352274,BOLSA MEDIA ALCA CORRENTE ONIX FEMININA TRANSVERSAL COLORIDA ,201116378,ARIETTO OFICIAL,https://produto.mercadolivre.com.br/MLB-2195352274-bolsa-media-alca-corrente-onix-feminina-transversal-colorida-_JM,Bags,108.35
MLB-2195352274,BOLSA MEDIA ALCA CORRENTE ONIX FEMININA TRANSVERSAL COLORIDA ,201116378,ARIETTO OFICIAL,https://produto.mercadolivre.com.br/MLB-2195352274-bolsa-media-alca-corrente-onix-feminina-transversal-colorida-_JM,Bags,108.35
MLB-2195352274,BOLSA MEDIA ALCA CORRENTE ONIX FEMININA TRANSVERSAL COLORIDA ,201116378,ARIETTO OFICIAL,https://produto.mercadolivre.com.br/MLB-2195352274-bolsa-media-alca-corrente-onix-feminina-transversal-colorida-_JM,Bags,108.35
MLB-3007238953,KIT MOCHILA TECTEL FEMININA ESTOJO POMPOM OTIMA QUALIDADE ,533810819,MOTRIZRACING,https://produto.mercadolivre.com.br/MLB-3007238953-kit-mochila-tectel-feminina-estojo-pompom-otima-qualidade-_JM,Bags,215.38
MLB-2838952939,MALA DE VIAGEM MONTREAL TAMANHO GRANDE PRETA ISIWAY ,451403353,MERCADOLIVRE MODA,https://produto.mercadolivre.com.br/MLB-2838952939-mala-de-viagem-montreal-tamanho-grande-preta-isiway-_JM,Bags,636.2
MLB-2989106391,MALA DE VIAGEM VEGAS PRETA MEDIA SAMSONITE ,451403353,MERCADOLIVRE MODA,https://produto.mercadolivre.com.br/MLB-2989106391-mala-de-viagem-vegas-preta-media-samsonite-_JM,Bags,1153.99
MLB-2838952939,MALA DE VIAGEM MONTREAL TAMANHO GRANDE PRETA ISIWAY ,451403353,MERCADOLIVRE MODA,https://produto.mercadolivre.com.br/MLB-2838952939-mala-de-viagem-montreal-tamanho-grande-preta-isiway-_JM,Bags,636.2
MLB-2989106391,MALA DE VIAGEM VEGAS PRETA MEDIA SAMSONITE ,451403353,MERCADOLIVRE MODA,https://produto.mercadolivre.com.br/MLB-2989106391-mala-de-viagem-vegas-preta-media-samsonite-_JM,Bags,1153.99
MLB-2838952939,MALA DE VIAGEM MONTREAL TAMANHO GRANDE PRETA ISIWAY ,451403353,MERCADOLIVRE MODA,https://produto.mercadolivre.com.br/MLB-2838952939-mala-de-viagem-montreal-tamanho-grande-preta-isiway-_JM,Bags,636.2
MLB-2989106391,MALA DE VIAGEM VEGAS PRETA MEDIA SAMSONITE ,451403353,MERCADOLIVRE MODA,https://produto.mercadolivre.com.br/MLB-2989106391-mala-de-viagem-vegas-preta-media-samsonite-_JM,Bags,1153.99
MLB-1773606354,SAPATO SAPATINHO BEBE MENINO BOTINHA LUXO EM PROMOCO ,392163037,JPB SHOP,https://produto.mercadolivre.com.br/MLB-1773606354-sapato-sapatinho-bebe-menino-botinha-luxo-em-promoco-_JM,Baby & Kids Fashion,42.83
MLB-1595229482,SAPATO SOCIAL VEGAS STORE DIRETO DA FABRICA  ,343633197,VEGASOFICIALSTORE,https://produto.mercadolivre.com.br/MLB-1595229482-sapato-social-vegas-store-direto-da-fabrica--_JM,Shoes,64.78
MLB-1595229482,SAPATO SOCIAL VEGAS STORE DIRETO DA FABRICA  ,343633197,VEGASOFICIALSTORE,https://produto.mercadolivre.com.br/MLB-1595229482-sapato-social-vegas-store-direto-da-fabrica--_JM,Shoes,64.78
MLB-1595229482,SAPATO SOCIAL VEGAS STORE DIRETO DA FABRICA  ,343633197,VEGASOFICIALSTORE,https://produto.mercadolivre.com.br/MLB-1595229482-sapato-social-vegas-store-direto-da-fabrica--_JM,Shoes,64.78
MLB-2888650706,AMORTECEDOR CENTRAL BROS 150 2009 2010 2011 COFAP ORIGINAL ,34324332,RM RETIFICA,https://produto.mercadolivre.com.br/MLB-2888650706-amortecedor-central-bros-150-2009-2010-2011-cofap-original-_JM,Motorcycles,527.99
MLB-2888650706,AMORTECEDOR CENTRAL BROS 150 2009 2010 2011 COFAP ORIGINAL ,34324332,RM RETIFICA,https://produto.mercadolivre.com.br/MLB-2888650706-amortecedor-central-bros-150-2009-2010-2011-cofap-original-_JM,Motorcycles,527.99
MLB-2027712331,SANDALIA FEMININA ANABELA SAPATO MACIO SALTO ALTO PLATAFORMA ,394932803,GIGIL.OFICIAL,https://produto.mercadolivre.com.br/MLB-2027712331-sandalia-feminina-anabela-sapato-macio-salto-alto-plataforma-_JM,Baby & Kids Fashion,83.99
